eid,raw_eid,highway
39173,30130952,residential
39174,30130952,residential
39175,30130952,residential
39176,30130952,residential
155081,1434691337,residential
39178,30131056,residential
39179,30131056,residential
39188,30131133,service
39180,30131056,residential
39182,30131056,residential
39183,30131056,residential
39189,30131133,service
39190,30131133,service
39191,30131133,service
43267,34140994,unclassified
39197,30131335,residential
104254,553009771,residential
39198,30131335,residential
39199,30131335,residential
39200,30131335,residential
39201,30131335,residential
138686,1118604869,residential
39209,30131672,residential
90639,322047895,residential
39210,30131672,residential
39211,30131672,residential
39212,30131672,residential
39213,30131672,residential
39214,30131672,residential
39215,30131672,residential
39217,30131682,service
39219,30131730,residential
39220,30131730,residential
71561,144756938,secondary
39222,30131745,residential
39223,30131745,residential
39224,30131745,residential
39225,30131745,residential
39226,30131745,residential
39227,30131770,residential
90635,322047895,residential
123619,816477010,primary
77963,190811282,residential
81903,233182642,primary
39228,30145350,residential
81904,233182642,primary
105005,563735859,primary
39233,30145365,residential
153597,1420382373,service
39234,30145365,residential
39235,30145507,residential
150485,1337713090,secondary
39236,30145507,residential
39237,30145507,residential
39238,30145507,residential
39262,30145649,residential
39245,30145508,service
148620,1304240663,residential
39246,30145508,service
39247,30145508,service
39248,30145508,service
39249,30145508,service
39250,30145508,service
39251,30145510,residential
39255,30145598,residential
39260,30145601,residential
39252,30145510,residential
151902,1363892802,service
39253,30145510,residential
39254,30145510,residential
39256,30145598,residential
39257,30145598,residential
70627,137003256,secondary
39261,30145601,residential
39263,30145649,residential
39264,30145649,residential
39266,30145767,secondary
39268,30145767,secondary
39269,30145767,secondary
39270,30145767,secondary
39289,30145855,unclassified
110324,628668303,tertiary
110327,628668304,secondary
39272,30145785,residential
39281,30145790,tertiary
141602,1176326846,residential
39282,30145790,tertiary
39283,30145790,tertiary
39284,30145790,tertiary
80081,211109557,service
39285,30145790,tertiary
39286,30145790,tertiary
39287,30145790,tertiary
39288,30145790,tertiary
39309,30146303,unclassified
39290,30145855,unclassified
39291,30145855,unclassified
39292,30145855,unclassified
39293,30145855,unclassified
42158,32136886,secondary
39299,30145887,secondary
39300,30145887,secondary
39301,30145887,secondary
110331,628668305,secondary
110813,637155763,service
39302,30146030,residential
47361,37718879,secondary
39303,30146030,residential
39304,30146030,residential
39305,30146087,residential
39306,30146087,residential
39307,30146087,residential
39310,30146424,residential
50407,43837827,tertiary
39311,30146424,residential
141608,1176326849,residential
39312,30146429,residential
39313,30146474,residential
75236,171962449,residential
39317,30146553,service
39318,30146553,service
39319,30146553,service
39337,30146638,secondary
39338,30146638,secondary
39339,30146638,secondary
39340,30146638,secondary
39341,30146638,secondary
39342,30146638,secondary
39343,30146638,secondary
39344,30146638,secondary
39345,30146638,secondary
39346,30146638,secondary
39347,30146638,secondary
39348,30146638,secondary
39350,30146638,secondary
39351,30146638,secondary
115982,685874378,service
39352,30146638,secondary
39353,30146638,secondary
70632,137007363,tertiary
70635,137007364,secondary
143880,1221993594,secondary
39354,30152695,residential
82957,244017293,residential
105584,568791866,primary
111985,657206515,residential
111997,657206517,residential
39355,30152697,residential
48455,40120402,secondary
39356,30152697,residential
39357,30152697,residential
39358,30152697,residential
39359,30152697,residential
39360,30152697,residential
39361,30152697,residential
39375,30152708,unclassified
39376,30152708,unclassified
39377,30152708,unclassified
39378,30152708,unclassified
39379,30152708,unclassified
39380,30152708,unclassified
39381,30152708,unclassified
141815,1184324029,residential
39382,30152708,unclassified
39383,30152708,unclassified
39384,30152708,unclassified
130551,918486402,living_street
39385,30152708,unclassified
39386,30152708,unclassified
80069,210977379,service
39387,30152708,unclassified
39388,30152753,unclassified
39389,30152753,unclassified
39391,30152753,unclassified
39392,30152878,primary
99421,456453677,primary
39393,30152878,primary
39394,30152878,primary
39395,30152878,primary
105585,568791867,primary
39397,30157758,secondary
39398,30157758,secondary
39399,30157758,secondary
62686,84796900,primary
136190,1064081547,secondary
39412,30158983,tertiary
39413,30158983,tertiary
39414,30158983,tertiary
39415,30158983,tertiary
39416,30158983,tertiary
39417,30158983,tertiary
39418,30158983,tertiary
39419,30158983,tertiary
39420,30158983,tertiary
39421,30158983,tertiary
130825,931876372,tertiary
39423,30160060,residential
39424,30160060,residential
39425,30160060,residential
39426,30160060,residential
39428,30160060,residential
39430,30160060,residential
39431,30160060,residential
39432,30160060,residential
39434,30165816,residential
39435,30165816,residential
39436,30165816,residential
39438,30165818,residential
66136,107361367,residential
39439,30165818,residential
39440,30165818,residential
39441,30165818,residential
39442,30165818,residential
39443,30165818,residential
43025,32786059,tertiary
81399,231321269,residential
39448,30166037,living_street
39449,30166037,living_street
39451,30166037,living_street
39453,30168409,service
153106,1395470483,service
39458,30168412,primary
106934,583999364,primary
39459,30168412,primary
