node_id,longitude,latitude
0,2.3694127,48.8215302
1,2.3693972,48.8215788
2,2.369386,48.8216103
3,2.3693695,48.8216639
4,2.3693516,48.8217028
5,2.355186,48.831995
6,2.3553078,48.8318236
7,2.3585751,48.8321636
8,2.3585526,48.8321759
9,2.3585128,48.8321887
10,2.3584786,48.832193
11,2.3584439,48.8321921
12,2.3584104,48.8321859
13,2.3583795,48.8321747
14,2.3583534,48.8321591
15,2.3583335,48.83214
16,2.3583209,48.8321183
17,2.3583162,48.8320953
18,2.3583204,48.8320705
19,2.3583338,48.8320472
20,2.3583555,48.8320268
21,2.3583828,48.8320112
22,2.3584149,48.8320004
23,2.3584612,48.8319943
24,2.3585082,48.8319979
25,2.3585511,48.8320109
26,2.3585858,48.8320319
27,2.3586091,48.832059
28,2.3586184,48.8320894
29,2.3586131,48.8321203
30,2.3585936,48.8321486
31,2.3940827,48.8391362
32,2.3938845,48.8390093
33,2.3938534,48.8389894
34,2.3938144,48.8389652
35,2.3931833,48.8385607
36,2.3930992,48.8385068
37,2.391657,48.8376132
38,2.3601009,48.8504233
39,2.3600901,48.8504626
40,2.3567364,48.8525484
41,2.3552992,48.8530123
42,2.3552337,48.8530334
43,2.3540958,48.853398
44,2.3540036,48.853419
45,2.3539021,48.8534422
46,2.3533393,48.8535992
47,2.3533259,48.8536022
48,2.353312,48.8536027
49,2.3533035,48.8536014
50,2.3532956,48.8535987
51,2.3532897,48.8535955
52,2.3532844,48.8535912
53,2.3531754,48.853447
54,2.3531653,48.8534282
55,2.3531651,48.853409
56,2.353286,48.8529556
57,2.3533008,48.8528801
58,2.3533224,48.8527738
59,2.3559179,48.8511377
60,2.3560443,48.8510917
61,2.3564514,48.8509437
62,2.3575168,48.8505947
63,2.3575983,48.8505672
64,2.3584541,48.8502818
65,2.3585159,48.8502611
66,2.3585862,48.8502382
67,2.3588479,48.8501463
68,2.3589237,48.8501185
69,2.3589391,48.8501137
70,2.3589985,48.8500938
71,2.3565473,48.8518338
72,2.356469,48.8518597
73,2.3558589,48.8520819
74,2.3548894,48.8524324
75,2.354842,48.8524483
76,2.3547965,48.8524645
77,2.3543365,48.8526282
78,2.3541528,48.8526936
79,2.3536022,48.8528946
80,2.3535281,48.8529217
81,2.3539321,48.8533559
82,2.3535679,48.8529645
83,2.354059,48.8534679
84,2.3541261,48.8526626
85,2.3537363,48.852197
86,2.353681,48.8521676
87,2.3558327,48.8520504
88,2.3552851,48.8513865
89,2.3552545,48.8513444
90,2.3570633,48.852444
91,2.357027,48.8523977
92,2.3565917,48.8518829
93,2.3550416,48.8501579
94,2.3549994,48.8501132
95,2.3549632,48.850073
96,2.3549232,48.8500289
97,2.3548755,48.8499758
98,2.357093,48.8524806
99,2.3571046,48.8524961
100,2.357109,48.8525022
101,2.3575557,48.8506394
102,2.3580589,48.8512532
103,2.3580848,48.8512836
104,2.358969,48.8508433
105,2.3585501,48.850308
